model,origin_index,origin_date,horizon,label,current_price,actual_price,actual_log,q10_log,q50_log,q90_log,q10_price,q50_price,q90_price
TimesFM-3,735,2016-06-29,63,3M,111791.6000000001,113126.00000000007,11.636257520742165,11.479043960571287,11.58645248413086,11.746373176574709,96668.60458951004,107629.76169372266,126294.6788703176
TimesFM-3,735,2016-06-29,126,6M,111791.6000000001,113333.00000000007,11.63808566674344,11.435049057006836,11.560543060302734,11.787201881408691,92507.87518455082,104876.95242709584,131557.83994799852
TimesFM-3,735,2016-06-29,252,12M,111791.6000000001,113782.0000000001,11.642039615931836,11.41338348388672,11.576003074645996,12.202345848083496,90525.19456132576,106510.94988265328,199256.0276888063
TimesFM-3,987,2017-07-16,63,3M,113782.0000000001,123281.99999999996,11.72222969309407,11.660624504089355,11.710454940795898,11.766587257385254,115916.3980847895,121838.89774614594,128873.5870307507
TimesFM-3,987,2017-07-16,126,6M,113782.0000000001,140203.99999999994,11.850853783846103,11.689774513244627,11.754993438720703,11.817113876342772,119345.09260525096,127388.07803276191,135552.44282494514
TimesFM-3,987,2017-07-16,252,12M,113782.0000000001,237420.0000000002,12.377586003607526,11.758569717407228,11.829073905944824,11.890496253967283,127844.46890519484,137183.3876870467,145873.67026476387
TimesFM-3,1239,2018-07-05,63,3M,237420.0000000002,452270.00000000006,13.022034625607525,12.088756561279297,12.402658462524414,12.73707103729248,177860.81074565076,243447.9552509949,340125.8711316237
TimesFM-3,1239,2018-07-05,126,6M,237420.0000000002,303082.00000000023,12.621758674941317,11.941469192504885,12.412717819213867,12.828311920166016,153502.04870072976,245909.24380299737,372619.07127996575
TimesFM-3,1239,2018-07-05,252,12M,237420.0000000002,429900.0,12.971307902484371,11.753958702087402,12.285785675048828,12.866138458251951,127256.33309418744,216595.24817298105,386983.93450836506
TimesFM-3,1491,2019-07-07,63,3M,429900.0,405199.9999999998,12.912136051356663,13.088048934936523,13.217470169067385,13.453398704528809,483133.81064384856,549888.1478973823,696204.4906223723
TimesFM-3,1491,2019-07-07,126,6M,429900.0,495899.9999999998,13.114129572477225,13.263458251953123,13.463889122009276,13.826985359191896,575766.9470304743,703546.4089442424,1011540.8892998206
TimesFM-3,1491,2019-07-07,252,12M,429900.0,865500.0000000002,13.6710626535984,13.635384559631348,13.914966583251951,14.326709747314451,835164.9753870121,1104569.896528504,1667289.3922808345
TimesFM-3,1743,2020-06-30,63,3M,865500.0000000002,1215299.9999999998,14.010501517858891,13.50747013092041,13.793067932128906,14.142322540283203,734885.6081558161,977807.3364630974,1386540.7584930863
TimesFM-3,1743,2020-06-30,126,6M,865500.0000000002,1144200.0000000005,13.950216260816566,13.52459716796875,13.896387100219728,14.43252944946289,747580.423158058,1084237.030845167,1853394.6276094029
TimesFM-3,1743,2020-06-30,252,12M,865500.0000000002,1019300.0000000008,13.834626675156503,13.695866584777832,14.179106712341309,15.055377960205078,887236.2603916335,1438493.1676699736,3455155.288537842
TimesFM-3,1995,2021-05-20,63,3M,1019300.0000000008,1084800.0000000007,13.896906196168269,13.666417121887209,13.91153621673584,14.200023651123049,861488.6170215015,1100787.3084817086,1468898.9303526103
TimesFM-3,1995,2021-05-20,126,6M,1019300.0000000008,1171600.0000000007,13.973880893935716,13.59717845916748,14.045867919921877,14.605109214782717,803858.4369133436,1259049.8660688105,2202512.285557775
TimesFM-3,1995,2021-05-20,252,12M,1019300.0000000008,1287800.0000000007,14.06844589408622,13.285001754760742,14.28171157836914,14.927788734436035,588305.5617604812,1593927.379073044,3041279.0786134545
TimesFM-3,2247,2022-04-06,63,3M,1287800.0000000007,1384300.0000000002,14.140705154675826,13.919504165649414,14.095349311828612,14.278037071228027,1109593.362022776,1322916.4799681923,1588081.2289742602
TimesFM-3,2247,2022-04-06,126,6M,1287800.0000000007,1322400.0000000007,14.094958825488952,13.834259033203123,14.115039825439451,14.397525787353516,1018925.3314330826,1349223.5346649026,1789641.3370079962
TimesFM-3,2247,2022-04-06,252,12M,1287800.0000000007,2512910.0000000005,14.736952002115997,13.7186279296875,14.149216651916504,14.691669464111328,907662.533797182,1396132.7514099604,2401656.9768346483
TimesFM-3,2499,2023-03-01,63,3M,2512910.0000000005,2464699.9999999995,14.717580654198455,14.569671630859377,14.908475875854492,15.360673904418944,2125827.3608754324,2983106.8301756494,4688737.453112672
TimesFM-3,2499,2023-03-01,126,6M,2512910.0000000005,2319000.000000001,14.65664661623767,14.537151336669922,15.04288387298584,15.748510360717772,2057806.847847267,3412254.836074105,6910208.443113618
TimesFM-3,2499,2023-03-01,252,12M,2512910.0000000005,2752800.0000000014,14.828129133465408,14.527007102966309,15.313976287841797,16.61565589904785,2037037.4969468703,4474818.220916527,16447037.027574835
TimesFM-3,2751,2024-01-23,63,3M,2752800.0000000014,3641000.0,15.10776892715757,14.846551895141602,14.996297836303713,15.17719268798828,2803984.207930445,3256937.3100150027,3902752.7208787
TimesFM-3,2751,2024-01-23,126,6M,2752800.0000000014,3356999.9999999995,15.026558275962172,14.928058624267578,15.136064529418944,15.370845794677734,3042099.9996857983,3745495.700351513,4736674.166106966
TimesFM-3,2751,2024-01-23,252,12M,2752800.0000000014,4853500.0,15.395210652134418,15.048690795898438,15.24461269378662,15.50363540649414,3432127.1796069806,4174948.971455879,5409327.879937105
TimesFM-3,3003,2024-12-14,63,3M,4853500.0,6511099.999999996,15.689018970724923,15.315974235534668,15.476648330688477,15.709440231323242,4483767.610886536,5265298.150324578,6645431.814062276
TimesFM-3,3003,2024-12-14,126,6M,4853500.0,6536299.999999998,15.692881814101424,15.35944938659668,15.544962882995604,15.843793869018556,4682999.5243524015,5637565.509272404,7601026.553914719
TimesFM-3,3003,2024-12-14,252,12M,4853500.0,11008099.999999989,16.214141923416324,15.495532989501951,15.709102630615234,16.076335906982422,5365676.330142824,6643188.690238232,9591001.824902128
TimesFM-3,3255,2025-11-11,63,3M,11008099.999999989,17244299.999999996,16.66299221205343,16.201946258544922,16.355722427368164,16.574037551879883,10874664.22439796,12682357.689770708,15776586.815882422
TimesFM-3,3255,2025-11-11,126,6M,11008099.999999989,18075200.000000022,16.710051390954803,16.3441219329834,16.491653442382812,16.728315353393555,12536086.12218214,14528945.259616056,18408357.90463125
TimesFM-3,3255,2025-11-11,252,12M,11008099.999999989,23878100.0,16.98847227883414,16.651227951049805,16.801145553588867,17.053037643432617,17042622.175235596,19799070.568712138,25470657.0447433
XGBoost-Quantile,735,2016-06-29,63,3M,111791.6000000001,113126.00000000007,11.636257520742165,11.56514784112641,11.628088163920433,11.717920152247636,105361.00142092547,112205.59800518236,122751.8543480356
XGBoost-Quantile,735,2016-06-29,126,6M,111791.6000000001,113333.00000000007,11.63808566674344,11.54759628862211,11.642924753726213,11.728129489124504,103527.88633880424,113882.75733400376,124011.48845479215
XGBoost-Quantile,735,2016-06-29,252,12M,111791.6000000001,113782.0000000001,11.642039615931836,11.55767545640537,11.610730827563197,11.724306462109771,104576.63766725456,110274.81281827712,123538.29427768552
XGBoost-Quantile,987,2017-07-16,63,3M,113782.0000000001,123281.99999999996,11.72222969309407,11.59549417746338,11.657804411175576,11.728316705944865,108607.32976792468,115589.96357612446,124034.707664794
XGBoost-Quantile,987,2017-07-16,126,6M,113782.0000000001,140203.99999999994,11.850853783846103,11.60753670734438,11.673000244694675,11.74801043820652,109923.14374466652,117359.86290926028,126501.62566913206
XGBoost-Quantile,987,2017-07-16,252,12M,113782.0000000001,237420.0000000002,12.377586003607526,11.582248136672106,11.702477216991513,11.825946349921551,107178.1987076782,120870.76754361809,136755.00919464594
XGBoost-Quantile,1239,2018-07-05,63,3M,237420.0000000002,452270.00000000006,13.022034625607525,12.308115016883626,12.38358036776112,12.63711303121449,221486.0788116991,238847.45600858645,307771.53930461605
XGBoost-Quantile,1239,2018-07-05,126,6M,237420.0000000002,303082.00000000023,12.621758674941317,12.317675456619275,12.419299420183911,12.656328734225047,223613.73759123485,247533.0581078327,313742.7727882736
XGBoost-Quantile,1239,2018-07-05,252,12M,237420.0000000002,429900.0,12.971307902484371,12.31469563043715,12.45313696212174,12.689656999176757,222948.3993098077,256052.2904366528,324375.47562312824
XGBoost-Quantile,1491,2019-07-07,63,3M,429900.0,405199.9999999998,12.912136051356663,12.910801700203852,13.045249878316358,13.216982199697927,404659.68148036906,462892.3859580005,549619.8847819965
XGBoost-Quantile,1491,2019-07-07,126,6M,429900.0,495899.9999999998,13.114129572477225,12.949861406236128,13.089390776007608,13.393503098636106,420778.31498023495,483782.5345786723,655729.1480762941
XGBoost-Quantile,1491,2019-07-07,252,12M,429900.0,865500.0000000002,13.6710626535984,12.930416080056862,13.20865110948606,13.883954732566313,412675.1827494996,545059.9728326895,1070840.8431661008
XGBoost-Quantile,1743,2020-06-30,63,3M,865500.0000000002,1215299.9999999998,14.010501517858891,13.587875192699048,13.747341012296292,13.999122058686826,796414.6073259591,934102.0871883944,1201548.9315169402
XGBoost-Quantile,1743,2020-06-30,126,6M,865500.0000000002,1144200.0000000005,13.950216260816566,13.63982037612519,13.779361759957885,14.127901976642224,838877.8426708743,964496.767609015,1366689.536160268
XGBoost-Quantile,1743,2020-06-30,252,12M,865500.0000000002,1019300.0000000008,13.834626675156503,13.658573243481133,13.97326729231796,14.466680412826154,854757.638062677,1170881.3248573015,1917783.045043792
XGBoost-Quantile,1995,2021-05-20,63,3M,1019300.0000000008,1084800.0000000007,13.896906196168269,13.76532724550143,13.869057395068555,14.10718578150645,951055.068273502,1055006.404055384,1338668.1791210424
XGBoost-Quantile,1995,2021-05-20,126,6M,1019300.0000000008,1171600.0000000007,13.973880893935716,13.78143640285507,13.950675689188392,14.38705706646815,966499.8310795394,1144725.7987172198,1771003.8071284238
XGBoost-Quantile,1995,2021-05-20,252,12M,1019300.0000000008,1287800.0000000007,14.06844589408622,13.821065979582816,14.14676502397433,14.718162835148725,1005570.881588849,1392714.1456326318,2466135.3191553154
XGBoost-Quantile,2247,2022-04-06,63,3M,1287800.0000000007,1384300.0000000002,14.140705154675826,14.004714141750195,14.11310702111707,14.340411576592782,1208286.9150697042,1346618.268131498,1690291.532724531
XGBoost-Quantile,2247,2022-04-06,126,6M,1287800.0000000007,1322400.0000000007,14.094958825488952,14.02335913401232,14.16965054270015,14.510216894709924,1231026.7484996994,1424954.644418564,2003120.744603332
XGBoost-Quantile,2247,2022-04-06,252,12M,1287800.0000000007,2512910.0000000005,14.736952002115997,14.035152158850291,14.225429224932054,14.975980851018289,1245630.2178108548,1506695.236037098,3191433.8324016538
XGBoost-Quantile,2499,2023-03-01,63,3M,2512910.0000000005,2464699.9999999995,14.717580654198455,14.652960951395782,14.79184411741093,15.083814109631332,2310468.6746920827,2654705.058502164,3554816.8810205543
XGBoost-Quantile,2499,2023-03-01,126,6M,2512910.0000000005,2319000.000000001,14.65664661623767,14.702648109712156,14.85012670136288,15.384945864744934,2428169.185415158,2814025.8458825275,4803934.678356383
XGBoost-Quantile,2499,2023-03-01,252,12M,2512910.0000000005,2752800.0000000014,14.828129133465408,14.709923426576408,14.992029751606736,15.583613987036498,2445899.3035479197,3243066.04863952,5859729.423579072
XGBoost-Quantile,2751,2024-01-23,63,3M,2752800.0000000014,3641000.0,15.10776892715757,14.759637816133615,14.905487073841211,15.096335133793472,2570568.956273439,2974204.225164884,3599606.6508126333
XGBoost-Quantile,2751,2024-01-23,126,6M,2752800.0000000014,3356999.9999999995,15.026558275962172,14.789212396624206,14.939827537419914,15.339053055527328,2647727.801140713,3078113.7158524445,4588451.014748354
XGBoost-Quantile,2751,2024-01-23,252,12M,2752800.0000000014,4853500.0,15.395210652134418,14.804830042901155,15.102155884983658,15.75661530184996,2689403.66976747,3620620.163393613,6966442.856223579
XGBoost-Quantile,3003,2024-12-14,63,3M,4853500.0,6511099.999999996,15.689018970724923,15.32973767676115,15.49241958417654,15.701924233219623,4545906.323209405,5348996.783450171,6595671.992756422
XGBoost-Quantile,3003,2024-12-14,126,6M,4853500.0,6536299.999999998,15.692881814101424,15.363887565664053,15.512629649124143,15.918126969120502,4703829.704657252,5458200.142382262,8187563.946220113
XGBoost-Quantile,3003,2024-12-14,252,12M,4853500.0,11008099.999999989,16.214141923416324,15.3989579137294,15.645942179939746,16.249691931984422,4871721.453104867,6236577.921761537,11406477.25169019
XGBoost-Quantile,3255,2025-11-11,63,3M,11008099.999999989,17244299.999999996,16.66299221205343,16.127496730018326,16.291964660812088,16.51316468738384,10094454.080081714,11898996.904770616,14844866.710369414
XGBoost-Quantile,3255,2025-11-11,126,6M,11008099.999999989,18075200.000000022,16.710051390954803,16.184078316617676,16.3676758589632,16.776485640037723,10682082.00320682,12834865.062193494,19316798.03890956
XGBoost-Quantile,3255,2025-11-11,252,12M,11008099.999999989,23878100.0,16.98847227883414,16.229928325343796,16.588495511043735,17.00115199707813,11183257.204503952,16006340.94959181,24182795.22271216
Chronos-2,735,2016-06-29,63,3M,111791.6000000001,113126.00000000007,11.636257520742165,11.517352104187012,11.608206748962402,11.713996887207031,100443.64512569392,109996.8215065862,122271.2097537763
Chronos-2,735,2016-06-29,126,6M,111791.6000000001,113333.00000000007,11.63808566674344,11.480915069580078,11.58923053741455,11.721274375915527,96849.6514127744,107929.17861213104,123164.28282516728
Chronos-2,735,2016-06-29,252,12M,111791.6000000001,113782.0000000001,11.642039615931836,11.45695972442627,11.580649375915527,11.741080284118652,94557.15301017584,107006.98331232044,125627.98065470872
Chronos-2,987,2017-07-16,63,3M,113782.0000000001,123281.99999999996,11.72222969309407,11.592805862426758,11.656792640686035,11.714792251586914,108315.75115341322,115473.0722056822,122368.49860361373
Chronos-2,987,2017-07-16,126,6M,113782.0000000001,140203.99999999994,11.850853783846103,11.56548023223877,11.666743278503418,11.75039291381836,105396.02830237657,116627.83872830648,126803.3720160722
Chronos-2,987,2017-07-16,252,12M,113782.0000000001,237420.0000000002,12.377586003607526,11.508902549743652,11.685750961303713,11.825054168701172,99598.51658567478,118865.86616900394,136633.05335509416
